Date,Price,Open,High,Low,Vol.,Change %
6/11/2020,"13,540.30","13,743.20","13,917.20","13,337.30",1.80M,-0.85%
6/10/2020,"13,656.30","13,424.30","13,656.30","13,424.30",2.46M,0.21%
6/9/2020,"13,627.30","13,859.20","13,975.20","13,627.30",1.51M,-1.67%
6/8/2020,"13,859.20","13,540.30","14,033.20","13,540.30",1.19M,2.36%
6/5/2020,"13,540.30","13,366.30","13,598.30","13,279.30",1.71M,1.52%
6/4/2020,"13,337.30","13,453.30","13,685.30","13,308.30",2.26M,-0.86%
6/3/2020,"13,453.30","12,815.40","13,453.30","12,757.40",2.29M,4.27%
6/2/2020,"12,902.40","12,989.40","13,047.40","12,786.40",1.36M,0.00%
6/1/2020,"12,902.40","12,815.40","12,902.40","12,728.40",845.84K,1.14%
5/29/2020,"12,757.40","12,612.50","12,786.40","12,612.50",1.08M,1.15%
5/28/2020,"12,612.50","12,641.50","12,699.40","12,554.50",328.09K,0.23%
5/27/2020,"12,583.50","12,844.40","12,873.40","12,496.50",740.96K,-1.59%
5/26/2020,"12,786.40","12,583.50","12,786.40","12,583.50",1.08M,1.61%
5/25/2020,"12,583.50","12,409.50","12,612.50","12,351.50",650.95K,1.88%
5/22/2020,"12,351.50","12,786.40","12,786.40","12,322.50",1.11M,-3.18%
5/21/2020,"12,757.40","12,902.40","12,931.40","12,757.40",710.47K,-0.90%
5/20/2020,"12,873.40","12,931.40","12,960.40","12,757.40",843.40K,-0.89%
5/19/2020,"12,989.40","12,757.40","12,989.40","12,641.50",2.33M,2.75%
5/18/2020,"12,641.50","12,757.40","12,815.40","12,583.50",452.98K,-0.91%
5/15/2020,"12,757.40","13,221.30","13,221.30","12,757.40",1.48M,-4.14%
5/14/2020,"13,308.30","13,337.30","13,366.30","13,047.40",916.13K,-0.22%
5/13/2020,"13,337.30","12,931.40","13,366.30","12,728.40",1.78M,2.00%
5/12/2020,"13,076.40","12,409.50","13,076.40","12,380.50",2.41M,5.62%
5/11/2020,"12,380.50","12,380.50","12,409.50","12,322.50",1.30M,0.00%
5/8/2020,"12,380.50","12,322.50","12,409.50","12,293.50",1.74M,0.95%
5/7/2020,"12,264.50","12,235.50","12,322.50","12,206.50",1.85M,0.71%
5/6/2020,"12,177.60","12,206.50","12,264.50","12,003.60",1.73M,0.00%
5/5/2020,"12,177.60","12,148.60","12,235.50","12,119.60",1.61M,0.48%
5/4/2020,"12,119.60","12,119.60","12,177.60","12,061.60",900.78K,-0.24%
4/29/2020,"12,148.60","11,916.60","12,177.60","11,916.60",1.48M,1.95%
4/28/2020,"11,916.60","11,916.60","11,974.60","11,858.60",692.29K,0.24%
4/27/2020,"11,887.60","11,916.60","11,945.60","11,858.60",886.10K,0.00%
4/24/2020,"11,887.60","11,887.60","11,945.60","11,829.60",639.97K,0.00%
4/23/2020,"11,887.60","11,829.60","11,916.60","11,742.60",753.96K,0.24%
4/22/2020,"11,858.60","11,713.60","11,887.60","11,481.70",960.27K,0.25%
4/21/2020,"11,829.60","12,061.60","12,061.60","11,423.70",1.17M,-2.39%
4/20/2020,"12,119.60","12,119.60","12,177.60","12,061.60",946.44K,0.00%
4/17/2020,"12,119.60","11,974.60","12,177.60","11,974.60",1.61M,1.46%
4/16/2020,"11,945.60","12,003.60","12,003.60","11,887.60",875.84K,-0.24%
4/15/2020,"11,974.60","11,829.60","11,974.60","11,829.60",946.10K,2.23%
4/14/2020,"11,713.60","11,655.70","11,945.60","11,655.70",849.12K,0.25%
4/13/2020,"11,684.70","11,365.70","11,829.60","11,365.70",1.24M,1.26%
4/10/2020,"11,539.70","11,655.70","11,655.70","11,307.70",396.26K,-0.50%
4/9/2020,"11,597.70","11,307.70","11,655.70","11,307.70",1.10M,2.56%
4/8/2020,"11,307.70","10,727.80","11,481.70","10,727.80",1.60M,4.28%
4/7/2020,"10,843.80","10,959.80","11,017.80","10,669.90",788.44K,0.00%
4/6/2020,"10,843.80","10,611.90","11,017.80","10,466.90",1.32M,2.19%
4/3/2020,"10,611.90","10,785.80","10,814.80","10,495.90",769.78K,-0.54%
4/1/2020,"10,669.90","10,727.80","10,756.80","10,437.90",433.19K,-0.54%
