Date,Price,Open,High,Low,Vol.,Change %,Ticker
9/10/2019,"7,382.70","7,348.00","7,400.00","7,313.40",9590000.0,0.47%,HPG
9/9/2019,"7,348.00","7,452.00","7,469.30","7,348.00",9870000.0,-0.93%,HPG
9/6/2019,"7,417.30","7,556.00","7,590.60","7,417.30",11690000.0,-1.38%,HPG
9/5/2019,"7,521.30","7,504.00","7,608.00","7,486.70",6890000.0,0.46%,HPG
9/4/2019,"7,486.70","7,452.00","7,556.00","7,452.00",16260000.0,-0.23%,HPG
9/3/2019,"7,504.00","7,694.60","7,729.30","7,504.00",14940000.0,-2.48%,HPG
8/30/2019,"7,694.60","7,677.30","7,781.30","7,642.60",9260000.0,0.23%,HPG
8/29/2019,"7,677.30","7,712.00","7,712.00","7,625.30",13740000.0,-0.45%,HPG
8/28/2019,"7,712.00","7,763.90","7,798.60","7,660.00",12050000.0,-0.67%,HPG
8/27/2019,"7,763.90","7,971.90","7,989.20","7,763.90",25010000.0,-1.75%,HPG
8/26/2019,"7,902.60","8,006.60","8,023.90","7,867.90",15780000.0,-2.56%,HPG
8/23/2019,"8,110.60","8,058.60","8,127.90","8,006.60",14970000.0,1.52%,HPG
8/22/2019,"7,989.20","8,075.90","8,093.20","7,971.90",9210000.0,-0.65%,HPG
8/21/2019,"8,041.20","7,937.20","8,058.60","7,902.60",13400000.0,1.31%,HPG
8/20/2019,"7,937.20","7,989.20","8,075.90","7,885.30",13320000.0,-0.65%,HPG
8/19/2019,"7,989.20","7,971.90","8,075.90","7,954.60",7060000.0,0.00%,HPG
8/16/2019,"7,989.20","8,058.60","8,093.20","7,937.20",24620000.0,-0.86%,HPG
